Data_Publicacao;Descricao;Empresa;Funcao;Localidade;Nivel_experiencia;Plataforma;Setor;Tipo_emprego;Titulo
9 hours ago ;"Sobre nós: Há mais de 45 anos no mercado, a Valgroup se tornou uma das maiores produtoras, transformadoras e recicladoras de plástico do mundo, com operações no Brasil, Espanha, Estados Unidos, México e Uruguai, com mais de 5 mil colaboradores em 36 plantas. Somos uma empresa consolidada em busca da liderança do mercado de embalagens plásticas nas Américas através de inovações sustentáveis e do reconhecimento como referência em economia circular, sendo uma das primeiras empresas do mundo a assinar o Compromisso Global da Nova Economia do Plástico. Requisitos : * Ensino Médio Completo; * Desejável curso de Operador de Empilhadeira; * Conhecimentos de informática (Pacote Office); * Disponibilidade para Revezamento de turno 6X2; * Residir em Lorena ou região; Principais Responsabilidades : * Organizar as bobinas extrusadas e/ou irradiadas e transferir para o depósito do estoque; * Gerar os volumes das bobinas por item para armazenar; * Fazer a transferência via sistema TOTVS liberando os volumes para produção; * Enviar as bobinas para produção de acordo com a solicitação do PCP, respeitando o FIFO; * Organizar o depósito de material intermediário; * Operar empilhadeira para organizar o estoque; * Zelar pela organização geral do setor; * Contribuir para cumprimento adequado dos procedimentos estabelecidos internamente pela Gestão da Qualidade, Recursos Humanos e Segurança do Trabalho e zelar pela conservação de materiais e equipamentos sob sua responsabilidade. Benefícios: * Plano Médico * Plano Odontológico * Seguro de Vida * Cesta Básica * Almoço no local * PPR #VEMCOMAGENTE";Valfilm ;; Lorena, São Paulo, Brazil;;LinkedIn;;;Estoquista
10 hours ago ;"A Distribuidora Gama é uma empresa mineira especializada na distribuição de produtos farmacêuticos. Desde a sua fundação, tem como base ser uma empresa dinâmica, de extremo respeito e transparência com seus clientes e parceiros. A eficiência logística e o atendimento qualificado são os grandes diferenciais que a torna referência em qualidade.

Venha fazer parte deste time de sucesso!

Responsabilidades e atribuições

Elaborar junto a gerência o cronograma mensal das atividades do setor;

Elaborar junto a gerência as apresentações de resultados do setor de compras, que são realizadas mensalmente á diretoria e outros setores em reunião previamente agendada;

Acompanhar todo processo de ações promocionais, desde a solicitação aos compradores dos produtos e seus respectivos preços, até a divulgação das lâminas e promoções pelo departamento de MKT;

Dar suporte as assistentes e compradores nos processos operacionais do sistema GamaSoft;

Participar e acompanhar todo o processo de revisão de mix de produtos realizado anualmente;

Participar e acompanhar todo o processo de elaboração dos catálogos de produtos para as equipes de vendas;

Participar das definições dos cronogramas das convenções de vendas e acompanhar todo o processo de comunicação as fornecedores, agendamento de treinamento, definição de brindes aos participantes e demais atividades sob a responsabilidade do setor de compras;

Participar das definições e estratégias para a realização do aniversário Gama, acompanhando todo o processo desde a comunicação aos fornecedores, realização dos eventos, até a montagem das ações e promoções de vendas e demais atividades sob a responsabilidade do setor de compras;

Propor melhorias nos processos desenvolvidos no setor.

Requisitos e qualificações

Ensino Superior completo ou em andamento em Administração, Gestão comercial ou áreas correlatas.

Experiência anterior na função;

Conhecimentos em Excel (Intermediário);

Além de algumas Habilidades Importantes:

Organização;

Detalhista;

Bom relacionamento Interpessoal;

Equilíbrio Emocional;

Firmeza e objetividade.

Criatividade e Agilidade.

Informações adicionais

Salário Bruto Mensal R$ 2.036,92 mensais

Premiação por mês de até R$400,00 conforme produtividade*

Assistência Médica e Odontológica;

Auxílio Combustível ,Vale Transporte ou Transporte de Fretamento;

Convênio Farmácia ;

Convênio EcxCard;

Convênio com Instituições de Ensino Superior;

Convênio Clube Sesc;

Estacionamento;

Refeição no local (Café da manhã, Almoço e Café da tarde).

Premiação mensal paga somente após o período de experiência(90 dias).";Distribuidora GAMA ;; Betim, Minas Gerais, Brazil;;LinkedIn;;;Assistente Administrativo
10 hours ago ;"Realizar recepção e acolhimento dos beneficiários e/ou clientes do GNDI – Grupo NotreDame Intermédica, que irão passar em consulta, para realizar elegibilidade nos casos de beneficiários e emitir guias para a realização de exames. Atuar, ainda, no arquivamento de prontuários (retiradas / colocações nos arquivos), separação de documentos e montagem de pastas médicas com os formulários para os atendimentos médicos.

Responsabilidades e atribuições

Efetuar a localização de agendamentos e confirmar consultas;
Emitir guias no sistema, para realização dos exames nos prestadores de serviços que não possuem autorizador;
Orientar os beneficiários, quanto a dúvidas e demais esclarecimentos a respeito de prestadores, agendamentos etc.;
Preencher os impressos necessários para o atendimento médico e realizar a separação dos formulários para tais atendimentos;
Realizar cadastramento da biometria de beneficiários no sistema, para realização da elegibilidade nos próximos atendimentos;
Inserir dados no documento TISS - Troca de Informações na Saúde Suplementar;
Requisitar autorizações, através do telefone e/ou portal de atendimento das outras operadoras, quando necessário;
Efetuar abertura de fichas de outros convênios no sistema, para posterior faturamento;
Encaminhar os pedidos de exames/procedimentos que necessitam passar por auditoria médica;
Montar pastas médicas, separando os formulários necessários para o atendimento médico;
Efetuar o fechamento da estatística de consultas e exames e digitar no sistema, as quantidades de exames e atestados requisitados/emitidos pelo médico;
Manter arquivos (retirar, organizar e arquivar os prontuários médicos);
Controlar as devoluções dos prontuários pós-atendimento;
Realizar o remanejamento de consultas, contatando os pacientes para remarcação das consultas nos casos em que há faltas médicas;
Executar outras atividades correlatas a critério do superior.


Requisitos e qualificações

Obrigatório:

Ensino Médio Completo

Desejável:

Experiência na função ou cargos similares

Carga Horária:

Das 09:12 ás 19:00 de Segunda a sexta e 1 sábado por mês.

Unidade:

Centro Clínico - Centro.

Informações adicionais

O que oferecemos:

Vale Transporte;
Vale Alimentação;
Assistência Médica;
Assistência Odontológica;
Seguro de Vida;
Gympass;
Funcional Card;
Universidade Corporativa;
Interclube (Programa de Descontos);
Programa Conte Comigo.";NotreDame Intermédica ;; Curitiba, Paraná, Brazil;;LinkedIn;;;RECEPCIONISTA AMBULATORIAL - CC Centro
10 hours ago ;"Realizar recepção e acolhimento dos beneficiários e/ou clientes do GNDI – Grupo NotreDame Intermédica, que irão passar em consulta, para realizar elegibilidade nos casos de beneficiários e emitir guias para a realização de exames. Atuar, ainda, no arquivamento de prontuários (retiradas / colocações nos arquivos), separação de documentos e montagem de pastas médicas com os formulários para os atendimentos médicos.

Responsabilidades e atribuições

Efetuar a localização de agendamentos e confirmar consultas;
Emitir guias no sistema, para realização dos exames nos prestadores de serviços que não possuem autorizador;
Orientar os beneficiários, quanto a dúvidas e demais esclarecimentos a respeito de prestadores, agendamentos etc.;
Preencher os impressos necessários para o atendimento médico e realizar a separação dos formulários para tais atendimentos;
Realizar cadastramento da biometria de beneficiários no sistema, para realização da elegibilidade nos próximos atendimentos;
Inserir dados no documento TISS - Troca de Informações na Saúde Suplementar;
Requisitar autorizações, através do telefone e/ou portal de atendimento das outras operadoras, quando necessário;
Efetuar abertura de fichas de outros convênios no sistema, para posterior faturamento;
Encaminhar os pedidos de exames/procedimentos que necessitam passar por auditoria médica;
Montar pastas médicas, separando os formulários necessários para o atendimento médico;
Efetuar o fechamento da estatística de consultas e exames e digitar no sistema, as quantidades de exames e atestados requisitados/emitidos pelo médico;
Manter arquivos (retirar, organizar e arquivar os prontuários médicos);
Controlar as devoluções dos prontuários pós-atendimento;
Realizar o remanejamento de consultas, contatando os pacientes para remarcação das consultas nos casos em que há faltas médicas;
Executar outras atividades correlatas a critério do superior.


Requisitos e qualificações

Obrigatório:

Ensino Médio Completo

Desejável:

Experiência na função ou cargos similares

Carga Horária:

Das 09:12 ás 19:00 de Segunda a sexta e 1 sábado por mês.

Unidade:

Centro Clínico - Centro.

Informações adicionais

O que oferecemos:

Vale Transporte;
Vale Alimentação;
Assistência Médica;
Assistência Odontológica;
Seguro de Vida;
Gympass;
Funcional Card;
Universidade Corporativa;
Interclube (Programa de Descontos);
Programa Conte Comigo.";NotreDame Intermédica ;; Curitiba, Paraná, Brazil;;LinkedIn;;;RECEPCIONISTA AMBULATORIAL - CC Centro
16 hours ago ;"Recepcionista de internação/pronto atendimento

Responsabilidades e atribuições

Abrir ficha de atendimento;
Cadastro de pacientes em sistema;
Atendimento à regras de convênios médicos e particular
Atendimento telefônico;
Orientar e acompanhar pacientes;
Pontualidade e assiduidade;
Comprometimento;
Bom relacionamento pessoal;
Postura;
Foco no trabalho


Requisitos e qualificações

Ensino Médio completo;
Experiência em recepção, preferência na área da saúde;
Desejável conhecimento em sistema informatizado;
Podendo ser sem experiência, mas com disponibilidade de aprendizado


Informações adicionais

A apresentação pessoal deverá ser de cabelos presos e unhas curtas e claras";Pilar Hospital ;; Curitiba, Paraná, Brazil;;LinkedIn;;;Recepcionista -T - Pilar
16 hours ago ;"Olá, somos a Cruzeiro do Sul Educacional! ⭐

Nós acreditamos no poder de transformação de vidas por

meio da educação de qualidade e excelência! Aqui, nós buscamos conectar

diferentes pessoas para que possam construir um mundo melhor a partir da

educação, com muito trabalho, respeito e dedicação, proporcionando a melhor

experiência e apoiando a jornada do conhecimento de mais de 390 mil

alunos.

A Cruzeiro do Sul Educacional S/A é um dos maiores e

mais representativos grupos de educação do país, tendo instituições de ensino

academicamente relevantes e marcas reconhecidas em suas respectivas regiões,

das suas escolas de ensino básico às instituições de ensino superior.

Docentes e colaboradores de diversas áreas trabalham em

sintonia para garantir essa construção diária. E estamos sempre em busca de novas

pessoas para colaborar com esse objetivo, sejam profissionais que procuram por

uma primeira oportunidade no mercado de trabalho, até os mais experientes.

Você se identifica e acredita nesse propósito e quer

trabalhar em uma de nossas marcas? Venha fazer parte do

nosso time! Estamos de braços abertos para

recebê-lo(a).

Para se candidatar a uma de nossas vagas, é importante

manter todos os seus dados atualizados e completos. Fique à vontade para se

cadastrar em todas as vagas disponíveis do seu interesse, apenas recomendamos

que você finalize um processo antes de iniciar um novo.

Responsabilidades e atribuições

MISSÃO DO CARGO: Atender alunos, professores e visitantes, prestando-lhes informações sobre os serviços odontológicos, conferindo, organizando e arquivando documentos a fim de cumprir com as determinações administrativas e procedimentos internos da instituição.

PRINCIPAIS ATRIBUIÇÕES / RESPONSABILIDADES:

Atender alunos, professores e visitantes, prestando-lhes os esclarecimentos e dirimindo possíveis dúvidas sobre os serviços da instituição de acordo com as instruções e os procedimentos de rotina administrativa;
Efetuar e atender ligações telefônicas, prestando informações, anotando recados e/ou transferindo ligações de acordo com as solicitações e natureza dos assuntos a serem tratados, sempre que necessário;
Receber, arquivar, organizar e entregar documentos operacionalizados de acordo com os procedimentos de rotina;
Controlar a lista de frequência e organizar as pastas dos estagiários, quanto ao termo de compromisso, plano de estágio e relatório final;
Prestar informações semestrais de atendimento da instituição e efetuar consultas, quando solicitado;
Atuar no fluxo das operações de acordo com as demandas;
Desenvolver outras atividades correlatas em seu campo de atuação.


Requisitos e qualificações

Escolaridade: Ensino médio completo / Graduação em andamento será um diferencial.

﻿Informática: Conhecimento em pacote office

Informações adicionais

Horário de trabalho das 07:00 às 13:00";Universidade Cruzeiro do Sul ;; São Paulo, São Paulo, Brazil;;LinkedIn;;;RECEPCIONISTA
23 hours ago ;Vaga de Atendente De Caixa E Cartão - Metrô Saúde em São Paulo. R$ 1.000,00 a R$ 1.888,00 (Bruto mensal). Parcial tardes. Efetivo – CLT Área e especialização profissional: Comercial, Vendas - Lojas / Shopping Nível hierárquico: Operacional Local de trabalho: São Paulo, SP Regime de contratação de tipo Efetivo – CLT Jornada Parcial tardes Organizar o caixa para abertura da loja ou fechamento. Recepcionar clientes para compras a prazo, Conferir a documentação, Operar o caixa e receber pagamentos. Empacotar mercadorias e entregar ao cliente. Abordar clientes nas dependências da loja, Oferecendo cartão e produtos financeiro Benefícios adicionais: Assistência médica, Assistência odontológica, Auxílio Educação, Auxílio farmácia, Vale-refeição, Vale-transporte;Besni ;; São Paulo, São Paulo, Brazil;;LinkedIn;;;Atendente De Caixa E Cartão - Metrô Saúde
9 hours ago ;PABX, marcação de consultas, atividades de atendimento ao cliente, estabelecer comunicação interna e externa. Ensino médio completo.;Centro de Tratamento Bezerra de Menezes ;; São Bernardo do Campo, São Paulo, Brazil;;LinkedIn;;;Telefonista
16 hours ago ;"Realização de atendimento aos clientes, orientando-os quanto a atendimento, preparos de exames, etc.

Responsabilidades e atribuições

Recepcionar clientes com simpatia e cordialidade, verificando sua necessidade de atendimento, com vista a encaminhá-lo ao consultório/sala de atendimento;
Solicitar documentos de identificação do Cliente, visando a segurança do atendimento;
Consultar e confirmar cadastro/consulta/procedimento do cliente
Efetuar o cadastro de clientes no sistema informatizado, objetivando manter o histórico dos atendimentos prestados;
Informar a sala de espera para o atendimento;
Agendar e efetuar cancelamento e encaixes de consultas nas agendas médicas;
Organizar e arquivar prontuários e exames laboratoriais dos pacientes, disponibilizando-os quando das consultas médicas;
Orientar ao cliente paciente quanto às instruções e preparo para a realização de exames;
Distribuir recipientes de coleta de amostras;
Gerar cobrança de taxas quando necessário e realizar o recibo para o cliente;
Conferir e enviar à administração as ordens de atendimento dos convênios;
Elaborar relatórios diários de atendimento aos convênios;
Realizar cobrança de taxas quando necessário, receber pagamentos, gerar o recibo de consultas realizadas por clientes;
Encaminhar recibos e boletos com numerário à administração da unidade, com vista ao fechamento do caixa;
Realizar contato com empresas-clientes para esclarecimentos, informações ou retorno de contato;
Organizar e gerar relatório para fechamento do caixa e dar seguimento de entrega.


Requisitos e qualificações

Ensino médio completo

Unidade: Porto Alegre e Região Metropolitana

Informações adicionais

Benefícios: Vale Transporte, Tíquete Refeição, Plano de Saúde (após período de experiência), Assistência Odontológica, Seguro de Vida, Gympass.";NotreDame Intermédica ;; Porto Alegre, Rio Grande do Sul, Brazil;;LinkedIn;;;RECEPCIONISTA AMBULATORIAL - PORTO ALEGRE
16 hours ago ;"Realização de atendimento aos clientes, orientando-os quanto a atendimento, preparos de exames, etc.

Responsabilidades e atribuições

Recepcionar clientes com simpatia e cordialidade, verificando sua necessidade de atendimento, com vista a encaminhá-lo ao consultório/sala de atendimento;
Solicitar documentos de identificação do Cliente, visando a segurança do atendimento;
Consultar e confirmar cadastro/consulta/procedimento do cliente
Efetuar o cadastro de clientes no sistema informatizado, objetivando manter o histórico dos atendimentos prestados;
Informar a sala de espera para o atendimento;
Agendar e efetuar cancelamento e encaixes de consultas nas agendas médicas;
Organizar e arquivar prontuários e exames laboratoriais dos pacientes, disponibilizando-os quando das consultas médicas;
Orientar ao cliente paciente quanto às instruções e preparo para a realização de exames;
Distribuir recipientes de coleta de amostras;
Gerar cobrança de taxas quando necessário e realizar o recibo para o cliente;
Conferir e enviar à administração as ordens de atendimento dos convênios;
Elaborar relatórios diários de atendimento aos convênios;
Realizar cobrança de taxas quando necessário, receber pagamentos, gerar o recibo de consultas realizadas por clientes;
Encaminhar recibos e boletos com numerário à administração da unidade, com vista ao fechamento do caixa;
Realizar contato com empresas-clientes para esclarecimentos, informações ou retorno de contato;
Organizar e gerar relatório para fechamento do caixa e dar seguimento de entrega.


Requisitos e qualificações

Ensino médio completo

Unidade: Porto Alegre e Região Metropolitana

Informações adicionais

Benefícios: Vale Transporte, Tíquete Refeição, Plano de Saúde (após período de experiência), Assistência Odontológica, Seguro de Vida, Gympass.";NotreDame Intermédica ;; Porto Alegre, Rio Grande do Sul, Brazil;;LinkedIn;;;RECEPCIONISTA AMBULATORIAL - PORTO ALEGRE
