Data_Publicacao;Descricao;Empresa;Funcao;Localidade;Nivel_experiencia;Plataforma;Setor;Tipo_emprego;Titulo
 ontem;"Pré requisitos mínimos para aplicar-se à vaga são:    




Experiência em logistica, em especial na função de Conferente;

Ensino médio completo;

Capacidade de atenção e concentração;

Bom relacionamento interpessoal;

Habilidade no pacote office (irtermediário)

 

Principais responsabilidades: 




Coordenar as atividades de recebimento e realizar a conferência das mercadorias recebidas, verificando condições da carga, ocorrências de faltas e avarias e preenchendo o relatório de descarga;

Acompanhar a produção, arrumação e inutilização das mercadorias, providenciar pallets e locais apropriados nas rotas de distribuição e embarque e conferir tipos e quantidades de volumes;

Realizar o pré- carregamento;

Coordenar as atividades de expedição e conferência das mercadorias a serem expedidas, arrumação dos veículos e preencher a ficha de controle de carregamento para expedir o romaneio de entrega;

Elaborar o romaneio de carregamento e encaminhar para a emissão do manifesto;

Verificar a arrumação das cargas de acordo com o destino e com as exigências dos clientes, lacrar o veículo e entregar a documentação de embarque ao motorista;

Receber o retorno da entrega e dar manutenção no relatório de mercadorias em depósito da sua rota;

Realizar a recepção de coletas diretas de clientes e redespachadores nos terminais de carga da Empresa;

Realizar balanços periódicos nos armazéns das unidades e das companhias aéreas e efetuar coletas e entregas;


Outros requisitos:


";Confidencial;;Salvador;Auxiliar/ Operacional;VagasCom;;;Conferente
 ontem;"Descrição

Descrição:
Ensino médio Completo
Conhecimento em Informática básica
Desejável conhecimento na área de logística
Atuação e controle em estoque e depósito
Recebimento, e expedição de produtos
Armazenamento (determinar quais as condições ideais para o armazenamento, levando em consideração as características do produto)

Outros requisitos:
Recebimento;
Armazenamento;
Expedição de Produtos.


";Grupo Elfa;;Mato Grosso;Auxiliar/ Operacional;VagasCom;;;Assistente de Depósito
 published yesterday;"Analisar a variação dos custos e realizar a contabilização das prestações de conta, aprimorando o controle, conferindo os lançamentos, saldos de estoques e compras mensais, visando a integridade das informações, o cumprimento da política interna, os prazos e metas estabelecidos com o cliente.




Analisar a variação dos custos, avaliando as causas, conferindo os lançamentos, saldos de estoques e compras mensais, visando a integridade das informações, o cumprimento da política interna, os prazos e metas estabelecidos com o cliente.




Analisar e efetuar as conciliações contábeis e calcular o custo real sobre o processo produtivo para visualizar o impacto sobre a operação e apoiar nas tomadas de decisão na Companhia.




Efetuar o levantamento e a valorização do inventário mensal, confrontando o orçamento com o que está sendo realizado na Companhia.




Efetuar os orçamentos de produtos ou acessórios de manufatura e revenda, comparando-os com pré-cálculos baseados nos planos de fabricação.




Analisar e realizar a apropriação dos valores de receita e despesas por projetos, bem como a classificação do centro de custo, natureza, origem e aplicação de gasto.




Esta posição se estende para pessoas com deficiência.





Outros requisitos:
Pacote Office avançado
Conhecimento em Contabilidade
Conhecimento em Normas contábeis
Desejável conhecimento em sistema SAP
Disponibilidade de horário
Disponibilidade para residir em Rolim de Moura-RO";Minerva Foods;;All over Brazil;Pleno;VagasCom;;;Analista de Custo
 published yesterday;"Description

Descrição:

Vaga também destinada a pessoa com deficiência

 

Quais Serão As Suas Atividades:

Controle e monitoramento dos processos de espumação com poliuretano
Desenvolvimento e implementação de melhorias nos processos de espumação e vedação de produtos.
Desenvolvimento de novos produtos, atuando na definição de massa de poliuretano, verificação de vedação, try-out de moldes e adequação de parâmetros.
Criação e atualização de parâmetros de processos e treinamento operacionais
Implementação de novos equipamentos para espumação de gabinetes e porta

 

 

O Que É Necessário Ter:

Superior Completo em Engenharia Química.

 

Pacote Office (Excel e Power Point)

 

Inglês Intermediário - Avançado";Confidential;;Extrema;Júnior/ Trainee;VagasCom;;;Engenheiro de Processos Júnior
 ontem;"Descrição

Descrição das atividades
• Abordar o cliente de forma gentil, proativa, ágil, dinâmica, realizando um atendimento personalizado garantindo a melhor experiência para o cliente;
• Incentivar os clientes a utilizarem os serviços disponíveis na Loja (Ex.: autoatendimento, mesa de degustação de aparelhos, outros);
• Entender genuinamente as necessidades de cada cliente e propor a melhor alternativa de novos produtos/ serviços;
• Garantir o cumprimento de todos os procedimentos da TIM de venda e pós-venda;
• Participar ativamente das reuniões diárias e semanais;
• Buscar orientação sobre questões de gestão, carreira e desenvolvimento com o Gerente de Loja;
• Buscar orientação de vendas, processos e sistemas com o Supervisor da Loja;
• Realizar a grade de treinamento proposta.


Conhecimento e Experiência desejável
• Vivência em vendas e atendimento ao cliente, independente do segmento;
• Possuir disponibilidade para trabalhar em escala, incluindo sábados e domingos;
• Ensino Médio Completo.


Escolaridade Mínima
Ensino Médio Completo

Empresa e Local de Trabalho
M300 TIM S.A.
RS - Porto Alegre

";TIM Brasil;;Porto Alegre;Auxiliar/ Operacional;VagasCom;;;Consultor de Vendas I - Loja Bourbon Wallig - Tssl
 ontem;"Analista de R&S Jr




Missão do cargo:

Responsável pela entrega das vagas de recrutamento e seleção temporárias e efetivas de baixa complexidade, executar e controlar todos os SLAs pré definidos junto aos clientes, ser a interface entre cliente e a filial.
Fortalecer o relacionamento com os clientes através de contatos períodicos, criando bancos de talentos, mantendo-se sempre atento a novas demanda.
Manter foco na excelência em todos os níveis de atendimento, visando atingir os objetivos estabelecidos nos target de filial.




Principais atribuições:

Alinhar junto aos clientes as demandas com foco no detalhamento dos perfis;
Responsável em alinhar junto aos clientes fluxo de entrega – delivery – SLA;
Colaborar com a organização dos processos de entrega – divisão das vagas por célula x especialidade;
Enviar aos clientes cronograma de atendimento (Padrão);
Enviar short list aos clientes com padrão Randstad;
Fazer uso 100% do randseeker, registrar a atividade no sistema, detectar novas oportunidades, potencializar a experiencia dos candidatos e garantir a criação de bucket.




Requisitos:

Ensino Superior completo em Psicologia, Gestão de RH ou áreas correlatas;
Vivência em recrutamento e seleção com grande volume de vagas.




Observações:

Contrato determinado - 45 dias (Vaga TEMPORÁRIA);
Atuação remota.";Ransdtad Brasil;;100% Home Office;Júnior/ Trainee;VagasCom;;;Analista de R&s Jr
 ontem;"Principais atividades:

* Atribuir notas fiscais (DANFE e DACTE).

* Verificar divergências no processo de atribuição.

* Garantir metas diárias de KPI.

* Abrir chamados no Portal Cervello.

* Manifestar e rejeitar notas fiscais.

* Mapear e consolidar indicadores da área.

* Realizar divisão das tarefas para o Time B2B.

* Verificar se lotes e quantidades estão conforme NF-e.

* Efetuar lançamentos de documentos fiscais através da Transação: MIRO.

* Gerar evidências para gerência de risco (SOX).

* Atender auditoria interna e externa.




Formato de trabalho: Será 100% presencial – Santo Amaro – Zona Sul SP




Benefícios:

Vale Transporte

Vale refeição

Vale Alimentação

Plano de Saude

plano odontologico

Desconto academia

Seguro de vida
















 

Olá!

Gostou do anúncio da vaga? Então vai lá e clica em ""Candidatar-se a essa vaga"", mas antes, dá uma olhadinha no nosso recadinho e verifique se você concorda com os nossos termos!

Lembre-se: a partir da candidatura, seu perfil será avaliado e em caso de compatibilidade com os requisitos da posição, fornecidos pelo contratante, haverá novas etapas do processo de seleção de acordo com os procedimentos de cada parceiro.

A Somar Diversidade é sua parceira e te auxilia a se aproximar do cliente e a realizar as etapas de seleção, porém, a decisão final de contratação é de responsabilidade do parceiro divulgador da vaga.  

Desejamos sucesso!";Somar Diversidade;;São Paulo;Auxiliar/ Operacional;VagasCom;;;Assistente Administrativo/ Fiscal
 ontem;"Descrição

Formação: Cursando Ensino Superior em Administração, Economia ou Ciências Contábeis.

 

Atividades: Auxiliar no atendimento aos associados e na comercialização dos produtos e serviços oferecidos pelo Sicoob.

 

Carga horária: 30 horas semanais.

 

O Sicoob oferece Bolsa Auxílio e Auxílio Transporte.




";Sicoob ES;;Águia Branca;Estágio;VagasCom;;;Estagiário - Agência Águia Branca/ES
 ontem;"Vaga também destinada a pessoa com deficiência




Quais Serão As Suas Atividades:




Realizar atividade de reparos e modificações em sistemas e maquinas com eletro-eletrônica, programação lógica de maquinas.
Executar tarefas técnicas com uso de esquemas eletrônicos.
Assistência as demais áreas de suporte, auxiliando engenheiros e técnicos. 
Substituir componentes eletroeletrônicos, suporte a listas de reposição, inspeção de trabalho, melhorias em processos com orientação das áreas.

 

O Que É Necessário Ter:







Ensino médio completo
Curso técnico em Mecânica, eletroeletrônica, eletrotécnica ou áreas correlatas
Habilidade em circuitos eletrônicos, eletrônica, automação, programação lógica plc/ihm, configuração de servomotores.";Confidencial;;Extrema;Técnico;VagasCom;;;Técnico Eletrônico
 ontem;"Auxiliar no faturamento, executando as tarefas estabelecidas dentro dos prazos estabelecidos, com qualidade e assertividade.

Participar de programas de treinamentos e educação continuada aprimorando as atividades diárias inerentes aos processos desenvolvidos no setor e registradas nos procedimentos operacionais padrão.


Outros requisitos:
Experiência com área da saúde;
Informática e/ou pacote office.";Rede Mater Dei de Saúde;;Minas Gerais;Auxiliar/ Operacional;VagasCom;;;Auxiliar Administrativo - Faturamento
